CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
10000,459,Germany,Female,19,8,88551.33,4,1,1,25814.22,0
10001,805,Spain,Male,53,3,13951.49,1,0,0,72965.26,0
10002,645,Spain,Male,43,9,10253.51,1,0,0,110688.11,1
10003,359,France,Female,50,1,83741.07,1,0,1,38844.04,0
10004,426,France,Male,74,0,27523.62,4,0,0,106129.97,0
10005,652,Spain,Female,53,7,14610.54,2,1,0,53380.7,0
10006,615,France,Male,42,0,101693.49,1,1,1,85838.79,0
10007,612,Spain,Female,41,4,28025.62,1,0,1,121088.5,0
10008,830,Spain,Male,18,7,12015.92,4,0,0,77844.4,0
10009,377,France,Female,68,3,836.17,1,1,1,102163.97,0
10010,825,France,Male,59,3,72712.92,1,0,0,58632.36,1
10011,586,France,Male,58,2,42768.03,2,0,0,91509.61,0
10012,811,France,Male,37,0,72874.8,1,0,1,123828.36,0
10013,494,France,Female,42,10,53078.44,4,0,0,133400.8,0
10014,692,Germany,Female,58,7,172538.12,4,1,0,142957.03,1
10015,496,Germany,Male,34,5,38532.87,3,0,0,50126.81,0
10016,569,Spain,Female,66,2,50579.72,2,1,0,24260.81,0
10017,370,Spain,Female,26,10,70919.93,4,1,0,13950.58,0
10018,415,Germany,Female,31,1,64244.81,1,1,0,31591.66,0
10019,763,Spain,Female,35,3,73263.98,3,1,1,110433.07,0
10020,688,France,Female,48,4,29889.65,4,1,1,36409.94,0
10021,447,France,Female,38,2,130393.75,2,1,1,117259.8,0
10022,585,Germany,Male,41,6,62280.31,3,1,1,17571.29,1
10023,805,France,Female,22,7,61607.76,1,1,0,119867.9,0
10024,831,France,Female,21,0,28513.85,2,0,0,66977.73,0
10025,419,Germany,Male,70,10,91815.88,1,1,0,32199.66,0
10026,362,France,Male,45,4,60290.88,4,0,1,93198.89,0
10027,788,Spain,Female,32,1,143159.33,4,0,0,115595.84,0
10028,383,Germany,Female,28,0,39810.75,4,1,0,17999.65,0
10029,831,Germany,Male,48,9,8138.19,3,0,1,67781.36,0
10030,788,France,Male,47,4,71637.53,1,1,0,23301.97,1
10031,592,France,Male,21,6,10718.28,3,1,1,143463.95,0
10032,775,France,Female,46,0,88407.45,3,0,1,70108.0,0
10033,779,France,Male,49,9,830.6,4,0,1,75629.57,0
10034,816,Germany,Male,55,9,56582.18,4,1,1,93652.02,1
10035,479,France,Female,54,10,50878.32,3,0,0,124679.07,0
10036,752,France,Male,32,8,62128.23,4,0,1,141355.59,0
10037,419,France,Female,22,4,34083.05,2,0,1,66370.9,0
10038,547,Spain,Male,18,2,16762.26,2,1,0,69012.39,0
10039,718,France,Female,73,10,60653.86,4,1,0,127024.22,0
10040,575,France,Female,23,5,30280.59,2,1,1,113262.88,0
10041,634,Spain,Male,27,1,73037.14,3,1,0,105367.7,0
10042,623,Germany,Male,19,5,48249.04,2,0,1,122548.0,0
10043,776,Spain,Male,32,4,66939.2,1,0,1,140330.27,0
10044,456,Germany,Male,46,1,60513.77,4,1,1,17307.71,0
10045,625,Germany,Female,59,4,145133.21,4,1,0,89719.49,0
10046,600,France,Female,50,0,81805.84,3,1,0,46961.45,0
10047,842,Germany,Male,37,2,99033.44,2,1,0,138680.63,0
10048,754,Germany,Male,53,9,90675.6,1,0,1,13016.82,0
10049,560,Spain,Female,67,5,36790.7,4,1,0,65982.4,0
10050,679,France,Female,20,2,13551.47,3,1,0,75771.59,0
10051,553,Germany,Male,31,8,111264.31,4,1,1,21199.35,1
10052,378,France,Male,42,7,125513.21,1,0,1,56442.63,1
10053,733,France,Male,35,1,97098.79,4,1,1,63501.78,0
10054,481,France,Male,62,0,88819.61,4,1,0,24286.1,0
10055,846,France,Female,57,5,87095.78,1,1,1,117571.44,0
10056,677,Spain,Female,69,5,62513.24,3,1,1,59357.44,1
10057,513,France,Male,67,5,80067.71,3,0,0,74743.61,1
10058,468,Spain,Male,25,7,64835.06,2,1,0,122453.36,0
10059,473,Germany,Male,68,2,83088.32,2,1,0,137809.41,1
10060,816,Germany,Female,61,7,9257.26,3,1,1,46198.49,1
10061,756,Germany,Male,34,7,27596.29,4,1,0,115433.66,0
10062,711,Germany,Female,38,3,97150.8,1,1,1,51613.79,0
10063,493,France,Female,48,2,44498.36,1,0,1,143183.96,0
10064,694,France,Female,38,8,76129.74,4,1,1,139257.89,0
10065,428,France,Male,41,6,71403.99,4,0,0,79412.29,0
10066,467,France,Male,62,7,68330.45,1,0,0,22889.31,0
10067,631,France,Male,56,6,174937.85,4,1,0,129396.58,1
10068,716,Spain,Female,60,5,105871.04,3,1,1,105783.05,0
10069,497,France,Male,30,8,103131.11,3,0,1,120896.74,0
10070,707,Germany,Female,19,0,25795.25,2,1,1,81901.25,0
10071,403,France,Male,65,10,1004.1,3,1,0,144709.29,0
10072,735,Spain,Female,52,7,51989.48,1,1,1,59871.06,0
10073,660,Germany,Male,58,10,65428.61,3,1,0,117774.33,0
