label,message
ham,"I'm running about 10 minutes late, traffic is bad on the highway."
ham,Can you pick up some milk on your way home?
spam,Your bank account has unusual activity. Confirm identity now at freegift-offer.net or it will be locked.
ham,Did you finish the assignment? I still need to review chapter 5.
ham,"Reminder: gym session at 6am tomorrow, don't oversleep!"
ham,"Thanks for helping me move last weekend, really appreciate it!"
ham,"Reminder: gym session at 6am tomorrow, don't oversleep!"
spam,"Claim your FREE iPhone 15 today! Only a few left, click win-cash.co before it's gone!"
ham,"Let's grab coffee this Friday, I have a lot to catch you up on."
ham,"Happy birthday! Hope you have an amazing day, let's celebrate this weekend."
spam,WINNER!! As a valued customer you have been selected to receive a prize. Reply YES to claim.
ham,"Meeting got moved to 3pm, see you in the conference room."
ham,"Happy birthday! Hope you have an amazing day, let's celebrate this weekend."
ham,"The movie was great, we should watch the sequel next week."
spam,WINNER!! As a valued customer you have been selected to receive a prize. Reply YES to claim.
ham,"I left the keys under the mat, let yourself in whenever you get here."
spam,"Act now! Your prepaid balance has expired, recharge instantly with 50% bonus at clickhere-now.info"
spam,FREE entry into our £250 weekly competition just text WIN to 80086 now!
ham,Can you pick up some milk on your way home?
ham,"Meeting got moved to 3pm, see you in the conference room."
ham,"Meeting got moved to 3pm, see you in the conference room."
ham,"The movie was great, we should watch the sequel next week."
ham,Can you send me the notes from today's class? I missed the last part.
ham,Can you pick up some milk on your way home?
spam,Congratulations! You've WON a $1000 Walmart gift card. Click here to claim now: bit.ly/claim-now
ham,"Reminder: gym session at 6am tomorrow, don't oversleep!"
spam,"Act now! Your prepaid balance has expired, recharge instantly with 50% bonus at clickhere-now.info"
ham,Can you pick up some milk on your way home?
spam,"Claim your FREE iPhone 15 today! Only a few left, click win-cash.co before it's gone!"
spam,WINNER!! As a valued customer you have been selected to receive a prize. Reply YES to claim.
ham,"Happy birthday! Hope you have an amazing day, let's celebrate this weekend."
ham,"The movie was great, we should watch the sequel next week."
ham,"Reminder: gym session at 6am tomorrow, don't oversleep!"
ham,Did you finish the assignment? I still need to review chapter 5.
ham,"I left the keys under the mat, let yourself in whenever you get here."
spam,"Act now! Your prepaid balance has expired, recharge instantly with 50% bonus at clickhere-now.info"
spam,URGENT! Your account has been suspended. Verify your details immediately at tinyurl.com/prize2026
ham,Can you send me the notes from today's class? I missed the last part.
spam,Limited time offer! Buy 1 get 1 FREE on all products. Shop now at clickhere-now.info
ham,"Reminder: gym session at 6am tomorrow, don't oversleep!"
spam,Your bank account has unusual activity. Confirm identity now at freegift-offer.net or it will be locked.
ham,Can you pick up some milk on your way home?
spam,Get a loan approved in minutes with NO credit check! Apply now: clickhere-now.info
spam,Congratulations! You've WON a $1000 Walmart gift card. Click here to claim now: clickhere-now.info
ham,Can you pick up some milk on your way home?
ham,Did you finish the assignment? I still need to review chapter 5.
ham,"Happy birthday! Hope you have an amazing day, let's celebrate this weekend."
ham,"I'm running about 10 minutes late, traffic is bad on the highway."
ham,"The movie was great, we should watch the sequel next week."
ham,"Thanks for helping me move last weekend, really appreciate it!"
