id,title,genre,plot
210,Sci-Fi Movie 10,sci-fi,An AI designed to help humanity begins making decisions no one can predict or control.
281,Documentary Movie 1,documentary,A year in the life of wildlife rangers protecting an endangered species from poachers. Filmmakers follow a community rebuilding after a devastating natural disaster.
34,Action Movie 34,action,A retired assassin is forced out of hiding after a bounty is placed on his head. An elite team of mercenaries is hired to take down a drug cartel controlling a border town.
211,Sci-Fi Movie 11,sci-fi,A crew of astronauts discovers a signal from a planet that shouldn't have life. An AI designed to help humanity begins making decisions no one can predict or control.
94,Drama Movie 14,drama,An immigrant family navigates cultural identity and hardship in a new country. Two brothers reconnect after decades apart to settle their late father's estate.
85,Drama Movie 5,drama,A daughter cares for her mother battling a degenerative illness while pursuing her dreams. A teacher in an underfunded school works to inspire a group of at-risk students.
330,Animation Movie 10,animation,A shy robot ventures beyond its factory to discover the world outside. A gifted young wizard learns to control her powers with the help of a talking cat.
95,Drama Movie 15,drama,An immigrant family navigates cultural identity and hardship in a new country. A daughter cares for her mother battling a degenerative illness while pursuing her dreams.
267,Thriller Movie 27,thriller,"A hostage negotiator must outwit a captor with a hidden agenda inside a besieged bank. A woman wakes up with no memory of the last three days, only a body in her trunk."
127,Horror Movie 7,horror,Strange occurrences plague a hospital after a patient dies during a failed experiment. A young couple discovers their new home was built on the site of a horrific massacre.
10,Action Movie 10,action,A former special forces operative is pulled back into action when his family is kidnapped by a ruthless arms dealer. A rogue cop must stop a terrorist plot to bomb the city's subway system before rush hour.
362,Family Movie 2,family,A city family adapts to life on a rural farm after inheriting it from a distant relative. A lonely boy befriends a stray dog who helps him make friends at his new school.
57,Comedy Movie 17,comedy,"A man pretends to be his twin brother to win back his ex-girlfriend, with hilarious results. A family reunion turns into a series of embarrassing misunderstandings and pranks."
73,Comedy Movie 33,comedy,A disorganized wedding planner must save a disastrous celebrity wedding in 24 hours. A family reunion turns into a series of embarrassing misunderstandings and pranks.
133,Horror Movie 13,horror,A babysitter is trapped in a house with something that isn't human. A cursed video tape brings death to anyone who watches it within seven days.
43,Comedy Movie 3,comedy,A disorganized wedding planner must save a disastrous celebrity wedding in 24 hours. A struggling actor takes a job as a clown for children's parties to pay rent.
